Word,Description
Thisen (n),blood
Thisen insuo (v),to shed blood
Thisen le thlin natna (n),leukaemia
Thisen suok (v),bleeding
Thithip (n),the name of animals regarded as the king of tigers
Thithra (adj),a natural death
Thitling (n),a bruise
Thitrin (n),a traditional ritual performed on the first anniversary of the deaths
Thizâm (n),"veins, arteries, nerves"
Thizîl (n),name of a species of bird
Thla (n),"the moon; a month, lunar month; spirit, ghost; wings; shadow, photo; a descendant, posterity"
Thla (v),"to let go, to release, to see off"
Thla (adv),down (tla thla = fall down)
Thla awk lem (n),"a lunar eclipse, an eclipse of the moon"
Thla biel (n),full moon
Thla bul (n),the first few days of the month
Thla de (n),a new moon
Thla eng (n),moonlight
Thla hmasak (adj),last month
Thla khawng (v),to flap the wings
Thla lak (v),"to take picture, to shot camera, to take photo"
Thla nawk (n),next month
Thla suok (v),moon rise
Thla tawp tieng (n),the last few days of a month
Thla thar (n),a new month
Thla tin (adv),"monthly, every month"
Thla zar (v),to spread the wings
Thlabar (n),"a sudden and intense feeling of fright, to receive a great shock or fright"
Thlabul eng (n),name of a species of bird
Thlada (adj),"careless, negligent"
Thlado (n),the name of month June
Thlafam (n),poetical term for death or those who have died
Thlahmur (n),the month of July
Thlahrang (n),an evil spirit or ghost believed to be wandering about usually at night causing mischief and disturbing or frightening people. It is also believed to be a forerunner of death who would hover round the house of people who are sick and approaching people on a dying bed and one who could sometimes make a strange and unusual noise. It is also believed that the spirit even after death still has unfinished things to take care of or it may be that it has something to say and share to the people still living. A priest will offer sacrifices and try to communicate with this spirit and solve the problem and the unfinished task or problems
Thlahuol (n),"to offer a sacrifice to quiet one's mind, to arrange a small ceremony so as to console someone who has overcome a tough situation such as death or terrible accident, etc"
Thlai (n),the generic name of all vegetables
Thlai chi (n),the general name of seeds of all kinds of vegetables
Thlai chi thlàk (v),sowing of seeds
Thlai siem (n),a traditional ritual performed by family members of the death after one lunar month
Thlai suong (v),"to prepare meal, to cook food"
Thlai thar (n),new or fresh vegetables
Thlai thar lawm (n),an event introduced by the early Hmar Christians wherein church members brought their vegetables produces to the church as an offering and give thanks to God for all His blessings
Thlaihna (n),leafy vegetables
Thlaithleng (v),a meal set out for eating
Thlaithleng siem (v),to prepare a meal (esp for those outside the normal family)
Thlak (n),west
Thlak (v),"to succeed, to relieve, to take someone else’ place, to act as a substitute; to lower, to let down, to throw down; to drop unintentionally, to leave behind"
Thlak (adv),an adverbial affix denoting 'causing' or 'begetting' (eg. lungsietum thlak= pitiable)
Thlak tieng (n),"westwards, the side of anything facing the west"
Thlakhawr (n),name of an ominous bird whose cry is believed to be a bad omen
Thlakhla (n),to hold it dear and be reluctant to part with or give up
Thlakhla thlak (adv),"worthy of holding it dear, worthy of to being attached to"
Thlakhlaum (adj),"dear, difficult to part with or give up"
Thlakip (adv),monthly
Thlakkhur (n),"a kind of trap to catch bear, etc wherein a bait is kept on a loose platform and when the animal goes there it felt down and was pierced by sharp object place on the ground"
Thlakpui (n),the name of a stinging plant
Thlakthla (v),"to let down, to drop down, to lower"
Thlakthleng (v),"to change, to exchange, to replace, to substitute"
Thlaktu (n),"a substitute, a successor"
Thlalak (n),"a photo, a portrait"
Thlalakna (n),a photographic camera
Thlalatu (n),"a photographer, cameraman"
Thlaler (n),"a desert, a wilderness, an uninhabited country"
Thlalir (n),full moon
Thlam (v),to detach from the main branch or line
Thlàm (n),a jhum house
Thlamang (n),the night the moon is invisible
Thlamawk (n),same as ‘thlamang’
Thlamuon (v),"to comfort, to cheer, to solace, to console"
Thlamuong (n),"to be comforted, to be consoled, to be in comfort, to be at peace"
Thlamuong takin (adv),peacefully
Thlamuong thlak (adj),"peaceful, comforting, consoling"
Thlamuongna (n),"peace, comfort, tranquillity"
Thlan (n),"perspiration, sweat"
Thlàn (n),"a grave, a tomb"
Thlàn lung (n),memorial stone
Thlàn nghak ni (n),the day after a burial (of death)
Thlandar (n),a Hmar Leiri sub clan
Thlang (v),"to choose, to select"
Thlang (n),"the west, western"
Thlang (prpn),"below, lower down"
Thlang met ah (prpn),"lower, down, below"
Thlang tieng (adj),"western, towards west, westward; lower side, downward"
Thlang tla (adv),to migrate westward
Thlangah (prep),"below, lower down"
Thlangawm (n),name of a species of bird
Thlangdar (n),the name of a beetle with a pungent odour
Thlanghnung (n),a Hmar Faihriem sub clan
Thlangnang (n),name of insect found in large swarm and that feeds on leaves
Thlankhar (n),the piece of wood or bamboo with which the recess at the bottom of a Hmar grave is closed to prevent refilled soil from direct contact with the corpse when the grave is filled in
Thlanlampuon (n),a Hmar traditional shawl
Thlanmuol (n),"a burial ground, graveyard, cemetery"
Thlannghak (n),the day after a burial
Thlansa (v),to perspire
Thlansaphulkai (adv),"with great difficulty, by sweat and blood, so as to be bathed in sweat due to physical activity"
Thlanthla (n),the name of a crow like bird
Thlanthrut (n),a mourning program arranged for those who could not go or reach the house of the death before the burial ritual
Thlantui (n),"perspiration, sweat"
Thlantuibuok (n),a traditional ritual performed by a family member of a death person for those who could not attend the burial program
Thlapa (n),the moon
Thlapa bung thing zar (n),the scratch visible on the surface of a moon
Thlaphal (n),November
Thlaphang (v),"to be exceedingly anxious, to be in anguish"
Thlaphangna (n),"anxiety, distress, anguish, agony"
Thlaphen (n),"shelter, protection, refuge"
Thlaphenah (adv),"in the shelter of, under the protection of"
Thlaphur (n),the month of May
Thlar (n),"a bunch of banana, beehive (as of plantains, keys, etc)"
Thlaram (n),September
Thlaram thla (n),the September month - the month of destruction (Hmars do not get married in this month as it is assumed that those who did it so would face many difficulties and their offspring would also not survive)
Thlarau (n),"a spirit, the spirit, the soul"
Thlarau mi (n),"a spiritual man, a holy man"
Thlarau suol (n),evil spirit
Thlarau Thienghlim (n),"Holy Spirit, Holy Ghost"
Thlarau tieng (adj),spiritual
Thlasie (v),"grieve, to be grieved"
Thlasik (n),"the cold weather, winter season"
Thlasik lam (n),the milky-way
Thlasik ni kir (n),the winter solstice
Thlathlam (v),"to leave, to abandon, to forsake, to leave to one's own devices, to leave in the lurch, to let alone"
Thlatlum (v),to be at ease at a place or with someone else
Thlatrau (n),the month of March
Thlatu (n),"an ancestor, a progenitor"
Thlatun (n),the month of April
Thlau (adj),"not equal in size, height, weight, etc"
Thlaute (n),a Hmar Khawlhring sub clan
Thlauthla (v),"to forsake, to give up"
Thlavai (v),"to be anxious, to be in anguish, to be in distress"
Thlavar (n),the moon shine
Thlavul (n),the month of February
Thlawi (n),a new term for a young woman who is no more married
Thlawm (adj),"few, not many"
Thlawn (adj),"free, with no cost, without price"
Thlawn (v),"to be in vain, to be fruitless"
Thlawng (v),"to remove from, to pull out"
Thlawngate (n),a Hmar Lungtau sub clan
Thlawp (v),"cooperate, support, to back up"
Thlawptu (n),"supporter, one who back up"
Thlawr (v),"to distil, to leach, to sprinkle"
Thlawram lam (n),name of one of the eight dances performed during Sikpui (by children)
Thlazar (n),the spread wings (peaceful)
Thlazar hnuoiah (adv),under the spread wings (peaceful)
Thlazing (n),the month of August
Thle (v),"to move on one side (as the body or head), to turn head, to lean on one side (as body or head), to be lopsided"
Thlei (v),"to separate, to discriminate, to make a distinction between"
Thlei bik nei (adj),"to have preference, to show partiality"
Thlei bik nei lo (adj),"impartial, just, fair"
Thleibik (v),"to be partial, to be prejudiced in favour of"
Thleibikna (v),"partiality, discrimination"
Thleiriel Khang (n),a traditional pre-Christian ritual performed on the third day of burial of the deaths and believed to cut a line between the livings and deaths
Thlek (v),"to move on one side (as the body or head), to turn head, to lean on one side (as body or head), to be lopsided"
Thlêm (v),"to persuade, to try to persuade, to appease, to pacify"
Thlem chiem (adv),"to beseech, to try hard to persuade"
Thlemna (v),"temptation, trial, persuasion"
Thlemna tuok (v),"to be tempted, to meet temptation"
Thlemthlu (v),"to succeed in persuading, comforting, appeasing, enticing or tempting"
Thlemtu (n),"a tempter, one who tempts"
Thleng (v),"to change, to exchange, to alter"
Thleng (n),"a plate, a trough"
Thleng (adv),"to go through, to pass through, to walk through"
Thlèng tlor zuon (n),one who just go where the plate is shining
Thlèng vuong thei (n),Unidentified Flying Object
Thlengbel (n),a vegetable serving bowl
Thlengdar (n),a vegetable serving bowl (brass)
Thlengher (n),a variety of wild tree
Thlèngpui (n),a large plate used for eating meal in the Hmar traditional family or during feast
Thlengtle (n),a greenish coloured wild insect
Thlep (v),"to fold up, to bend, to crumple"
Thler (n),a street between two rows of houses
Thler (v),"to tear, to split, to rip up, to be torn"
Thlersep (n),"a split (into four or more pieces) of bamboo, etc"
Thli (n),"wind, a breeze, a gale"
Thli hrang (v),blowing of the wind
Thli sie (n),"a cyclone, a typhoon, a hurricane, a tornado"
Thli up (adj),free from or sheltered from the wind
Thli upna tieng (n),a site where the storm is weak
Thliek (v),"to snap, to break (as a stick)"
Thlier (v),"to shift, to separate, to divide, to distinguish between, to make a distinction between"
Thlierbik (v),preference
Thlierbik nei (adv),to have preference
Thlierhran (v),"to separate, to differentiate, to classify, to distinguish"
Thlierhranna (n),"separation, classification"
Thlierkar (n),"an island, an isle"
Thlifim (n),"a breeze, a gentle wind, a zephyr"
Thlihran (n),a Hmar Thiek sub clan
Thlikhawnvar (n),"petromax, a kerosene-fed wind lamp"
Thlim (adj),"to avoid intentionally, begrudge"
Thlin (n),"marrow, bone marrow"
Thlipui (n),"a wind storm, a cyclone, a gale"
Thlîr (v),"to look at from a distance, to look, to look at"
Thlir let (v),to review
Thlirletna (n),a review
Thlirtu (n),"spectator, observer, one who views"
Thlit (v),"to pour out slowly, to filter, to pour off (as water)"
Thlitfai (adv),to winnow by pouring from a height slowly and allowing the wind to blow away the chaff
Thlithlai (v),"to reflect on, to examine, to scrutinize"
Thlithlaina (n),"reflection, examination, scrutiny"
Thlitna (n),"a strainer, a filter"
Thlivir (n),whirlwind
Thlo (v),"to weed, to cut grasses and weeds; to request one to stay back and not to move away or go, to detain"
Thlokher (n),the woodpecker
Thlon (v),"to excessively try to please someone with good words and deed, to be in good term with, to be friendly with"
Thlon lungawi (v),"to appease, to pacify, to mollify (with good words and deed)"
Thlong (v),"to fall out, to come out (as teeth, horns), to pull out (as tooth)"
Thlop (adv),"braided, wreathen, doubled"
Thlop (v),"cooperate, support, to back up"
Thloptu (n),"supporter, one who backs up"
Thlor (v),"to distil, to leach, to sprinkle, to make saltpetre or lye"
Thlor (adv),to fall down in a cold or specific manner
Thluchung (n),a Hmar Thriek sub clan
Thlûk (n),"tune, tone"
Thluk sei (n),long tune
Thluk tawi (n),short tune
Thlukledingawn (adj),"one billion, hundred crore"
Thlum (adj),"sweet, sweet tasting (like sugar)"
Thlung (v),"to tie up (as an animal), to fasten"
Thlung (v),"to put up, to lodge, to board"
Thlung in (n),a temporary lodging
Thlung zom (v),"to stretch from one place to another (as a wire, rope, etc)"
Thlunglu (n),poetical term for head
Thluoi (v),"comment, to give comment"
Thluoithlum (v),"to put things in a nice way, to express in a felicitous language"
Thluok (n),the brain
Thluok innem (adj),"good-natured, good-tempered, to be good-natured, etc"
Thluon (adj),"across, crossway (near the head)"
Thluon (v),"to stretch out, to straighten (the leg)"
Thluong (v/adv),"to stretch out, to straighten (the leg)"
Thlur (n),"a row, a line, a rank, a file"
Thlur (v),to pursue for a long distance
Tho (n),a fly
Tho (v),"to get up, to rise"
Tho har (v),"to wake up, to rise"
Tho invet (adj),to be dazed or stupid upon waking from sleep
Tho tho (adv),"in any case, anyhow, anyway, inspite of everything"
Tho thra lo (n),a not up to the mark rice beer or fermented soya
Thok rim (n),"to labour, to work hard, to toil"
Thokang (n),mosquito
Thokpalai (n),a go-between
Thomitsai (n),the ‘eye-fly’ - a tiny creature which persistently hovers in front of the eye
Thon (v),"to send, to dispatch"
Thon sawng (v),"to send from one to another, to forward, to send on"
Thonawkna (n),resurrection
Thonsuok (v),"to send out, to export"
Thophur (n),"the name of a small stinging fly, the bite of which is painful"
Thosakei (n),the name of a hopping spider which preys on flies
Thosi (n),a mosquito
Thosilen (n),a mosquito net
Thotel (n),name a variety of fly
Thothang (n),"energy, activity, movements, behaviour"
Thothang thra (adj),"energetic, active, lively, vigorous"
Thothang thra lo (adj),"lethargic, sluggish, listless"
Thotle (n),"a bluebottle, a blowfly"
Thotriel (n),a species of large mosquito
Thovuokna (n),a fly swatter
Thra (adj),"good, well, fine, advantageous, beneficial, well"
Thra deu hlek (v),slightly better
Thra lem (adj),better
Thra lo (adj),"bad, not good"
Thra tak (adj),the best
Thra takin (adv),"nicely, properly, in the best possible way"
Thra tawkin (adv),according to ability
Thra ti (v),"to admire, to appreciate, to be pleased with"
Thrafamkim (adj),"perfect, faultless, excelling in everything"
Thrahnem (v),"much, largely, in large quantities, much, a lot, a large quantity; useful, very good, to be useful, etc"
Thrahnemngai (v),"to be earnest, to be ardent, to be zealous, to be enthusiastic"
Thrahnemngaina (n),"earnestness, enthusiasm, zeal"
Thrak (adv),"not at all, never"
Thral (adv),"just, only, all"
Thrâl (n),the dry season
Thral (n),the groin
Thral ruo (n),"a winter rain, November rain"
Thral vaekchar (n),the hottest and driest time of the dry season
Thralai (n),youth
Thralai pawl (n),the youth group or association (esp in church)
Thralbe (n),the gland in the groin
Thralbea mi (n),"posterity, descendants"
Thralem (adj),better
Thralthro (n),inflamed and swollen of the groin
Thrâm (v),"to claw, to take up in the fist or fingers"
Thrâm daw (v),to put or arrange ‘thram’
Thrâmte (n),an elevated wooden platform temporarily constructed for woodcutters to have better movement and position in their job at hand or for hunters to wait and watch for their targets
Thrang (n),generation
Thrang (v),"to grow; to put forth one’s strength; to accompany, to join with, to be one of a company, to form part of, to take part in, to be present, to be added, to add"
Thrang (adv),"to be accustomed to, to be used to"
Thrang dan (n),generation gap
Thrang khat (n),"a spell or period of unbroken sleep; a generation, one generation"
Thrang khaw (v),"to be firm in one’s resolve, to make a determined resistance"
Thrang la (v),to make an effort
Thrang lien (v),"to grow, to grow up"
Thrang thi (n),the first menstrual discharge
Thrang tlang (v),"to band together, to join together, to unite"
Thrangduong (v),fast and youthful growing
Thranghar (v),"to wake up, to be awake"
Thranghmun (n),"a place where one stands one’s ground, makes a stand"
Thranghmun khaw (adj),"to stand one’s ground, to make a stand, to prepare to stand one’s ground or to make a stand"
Thrangkhat lien (phrase),"from birth to maturity, one generation (about 25 years)"
Thrangkhau (n),a variety of locust
Thrangkin (adj),"full-grown, matured, to stop growing"
Thrangmawbawk (adj),"that hampers growth, the Achilles heel"
Thrangpui (v),"to side with, to help"
Thrangpuina (n),"assistance, help"
Thrangpuitu (n),helper
Thrangruol (v),"to combine, join hands, to unite"
Thrangsan (n),"basis, foothold, reason, excuse, pretext"
Thrangthar (n),"the present generation, a new generation"
Thrangthram (n),mosquito
Thrap (v),"to sift in a ‘leidar’, to winnow"
Thrap (adv),"a systematic order, in a full disciplinary manner"
Thrat (adj),good
Thrat insuo (v),to show kindness
Thratfamkimna (n),perfection
Thrathnempui (n),useful with
Thratna (n),"goodness, virtue, benevolence"
Thratpui (v),"to be better with, to go good with"
Thrawng (v),"to attack or seize suddenly, to frighten, to startle"
Thrawngaleivir (n),a whirlwind
Thre (v),"to part with, to leave, to separate, to divide, to asunder"
Threk (n),leucoderma
Threl (v),to extinguish or partially extinguish fire
Threl (v),"to quell, to put a stop to (quarrel, etc)"
Threl (adj),"to miss (not to hit, etc)"
Thremthruom (adj),uneven pain or ache
Thren (v),"to smile, to grin, to make grimaces"
Thren (n),"some, others, part"
Threnkhat (n),"some, others"
Threnruol (n),friends
Threnum (n),a neighbour
Threnum khawveng (n),"neighbours, acquaintances"
Thret (v),to throw open for cultivation or for settlement area
Threthrawp (v),to divide in a systematic manner
Thri (n),"a bead, a necklace, a bell worn by cattle"
Thri be (n),those in the upper middle group
Thri be lo (n),those in the lower category
Thriek (n),a Hmar clan
Thriek (v),"to demolish, to dismantle"
Thrien (n),"a friend, a companion (for and of women)"
Thrieng (adj),side by side
Thrihna (n),a traditional Hmar women necklace
Thrim (n),a needle
Thrim hmor bawk (n),a pin
Thrim nakuo (n),eye of a needle
Thrin (v),"to collect a debt from, to ask for anything owing"
Thring (adj),"stale, cold, not eaten the same time as cooked, to get stale, cold, etc"
Thringthri (v),"to kneel, to kneel down, kneeling"
Thrival (n),a traditional Hmar women necklace
Thrommawl (n),a pile or post (under a house)
Thrui (v),"to sew, to stitch, a seam"
Thruirung (n),the centre line of a stitch
Thruithumpuon (n),a Hmar traditional shawl
Thrul (n),a hoe
Thrul (adj),"to not do a thing, to leave undone, to omit to, not to carry out"
Thrul tir (adv),"to prevent, to cause or tell not to do or say, to be prevented, etc"
Thrum (v),to bring down a hen after it hatched along with the chickens
Thrum (n),"a double handful (v), to scoop up with both hands"
Thrum vawr (v),"to augur, to cast lots, augury"
Thrung (v),to sit
Thrungbiel (v),to sit on the floor with legs across
Thrungna (n),"a seat, a stool, a chair"
Thrungpha (n),"a seat, a stool, a chair"
Thrungpui (v),to sit with
Thrungsop (v),to sit right down
Thruo (v),"to wash or cleanse, to gargle (with water)"
Thruofai (v),"to rinse, to swill, to wash out"
Thruoi (v),"to conduct, to lead, to escort, to take with"
Thruoi (adv),"suddenly, completely, take as risk and"
Thruoihmang (v),kidnap
Thruoihrang (v),"to lead away, to take on one side"
Thruoihruoi (n),"a follower, one who follows others, one’s follower"
Thruoitu (n),"leader, conductor, guide"
Thruom (n),the main short and big pole that supports a Hmar ‘raised’ village indigenous house
Thruom ang do (v),to support like a pole supports a house
Thruomkak (n),the two split wooden poles wherein ‘tlangkhang’ is placed for cotton reel to be dried under sunshine
Thruompui (n),the name of a tree
Thruomriet (n),"the name of a tree, the branch and leaves of which grow in clusters of eight"
Thruonawp (adj),"fragile, weak, in bad condition"
Thrurieng (n),name of a species of a dove bird
Thrusûm (n),name of a species of a dove bird
Thrut (n),"the foot of (mountain), bases, the stand (lamp)"
Thrut (v),"to set, to place, to install"
Thrût (v),to fire or blow uninterruptedly
Thu (n),"a word, a saying, news, statement"
Thu (adj),bad or pungent smell
Thu dawn lovin (adv),"rashly, inconsiderately"
Thu hmu (v),"to receive information, to get message"
Thu incha (v),"to give message, to send message"
Thu khaikhawm (v),"to summarize, to make a summary"
Thu khaikhawmna (n),"a summary, a brief account, a summation"
Thu khat vuo in (adv),"unanimously, with one mind, with one desire"
Thu lawmum (n),good news
Thu le hla (n),"prose and poetry, literature"
Thu phierruk (v),"to plot, to conspire, to plan; a plot, a conspiracy, a plan"
Thu poimaw (n),important message
Thu potchat (v),"to take decision, to decide, to settle dispute"
Thu sie (n),bad news
Thu suktluk (adj),"to give a verdict, to pass sentence, to wind up a case, to settle a case"
Thu thua inumtir (v),"to keep under one’s control, to control"
Thu vuongva (n),rumour (so as to stir up strife)
Thuah (prep),"regarding, respecting, with regard to, concerning about"
Thuah (prpn),"regarding, respecting, with regard to, concerning about"
Thuawi (adj),"obedient, to be obedient"
Thuawi lo (adj),disobedient
Thuawina (n),obedience
Thuawithei (n),one who is obedient
Thubul (n),"the beginning, cause, origin"
Thubuoi (n),"a dispute, a legal issue, a complaint, a dissension"
Thucha (n),message
Thucha phurtu (n),a messenger
Thudik (n),truth
Thudik hril (v),to speak the truth
Thuhmabet (n),a prefix
Thuhmun (adj),"alike, same, equal, to be alike, etc."
Thuhnung dawn (v),mindful of the future and consequences
Thuhnungbet (n),a suffix
Thuhnuoirol (adj),"humble, meek, lowly; to be humble, to speak humbly"
Thuhretu (n),a witness for
Thuhriltu (n),speaker
Thuk (n),"a grate, a stove, the place enclosed by the three stones which support the pot on a Hmar fireplace"
Thûk (adj),"deep, to be deep; adv. deeply"
Thukhawchang (n),the general theme of a conversation or chat
Thuklukham (v),a wood placed horizontally in a grate for the other woods to fall on
Thulai (n),middle path
Thulai tan (v),to give a balancing or middle decision
Thum (nmb),three
Thûm (adj),"stale (milk, food, etc.)"
Thûm (adj),"deep low sound, deep bass, husky sound"
Thumal (n),"word, words"
Thumal tin (adv),every word
Thun (v),"to put in (to anything long and narrow such as bottle, etc.), to load (as gun)"
Thunawn (v),"chorus, refrain (of a song)"
Thunei (v),to have or receive authority
Thunei takin (adv),authoritatively
Thuneina (n),authority
Thuneina nei (v),"to have power, to have authority"
Thuneina pek (v),"to give power, to give authority, to vest, to empower, to authorise"
Thuneitu (n),one in authority
Thung (v),"return, refund"
Thung (adv),adverbial suffix
Thungrul (v),"return one’s due, to repay, to avenge"
Thungrulna (n),"repayment, revenge, vengeance"
Thunun (v),"to bring into subjection, to cause to obey, to break in, to train"
Thununna (n),"discipline, control"
Thuo (adj),"doubled, more than one thickness, in layers, one on top of another"
Thuok (v),"to breathe, to breathe out, to sigh"
Thuok thuok (adv),"nearly, almost, on the verge of"
Thuokinsam (v),"faint, to be sort of breath, to have difficulty in breathing"
Thuoksam (n),"an ailment of breathing issue, asthma"
Thuom (n),"goods, things, property, articles"
Thuom (v),"to give clothes, to provide warmth or items"
Thuomhnaw (n),"goods, article, tools, garments, clothes"
Thuomriet (n),a variety of wild tree
Thup (v),"to conceal, to hide, to keep secret"
Thupehel (n),words whose meaning can be understood only when some hints are given
Thupek (v),"to command, to give permission; n. commandment, order"
Thuphachawi (v),"to confess and ask pardon, to surrender, apologise, to ask to be excused"
Thuphachawina (n),apology
Thuphung (n),"outline, summary"
Thupruk (v),"to conceal, to hide, to keep it as secret"
Thupui (n),"main theme, motto"
Thur (v),"to serve (with food), to set before (as food)"
Thur (adj),rough (as hair)
Thûr (adj),"sour, acidic"
Thurachi (n),legend
Thurawn (n),"advice, counsel, suggestion"
Thuremtu (n),"a judge, a magistrate, an arbitrator"
Thuril (n),"a mystery, a deep saying, meaningful words or sayings"
Thuring (n),"belief, doctrine, that which one believes"
Thuro (n),wise command or traditions
Thurosie (n),"traditions of the elders, a message or will or testament of the forefathers handed down from generation to generation"
Thurpui (n),name of wild creeper with fruit
Thuruk (n),"a secret, confidential"
Thurum (n),"foolhardy, reckless, fearless, daring; to be foolhardy (message or words)"
Thusam (n),poetry
Thusie (n),"law suit, a judicial case, bad news, negative piece of information"
Thusim (n),myth
Thusuok (n),"order, or press release"
Thut (adv),"suddenly, all of a sudden"
Thutak (n),"truth, solemn"
Thutaka la (v),to take a joke a truth and be serious with it
Thuthang (n),a rumour
Thuthar (n),news
Thuthlung (n),"a covenant, agreement, contract, a testament"
Thuthlung Hlui (n),the Old Testament
Thuthlung Thar (n),the New Testament
Thutiem (n),"a promise, a vow, an oath"
Thutiem nei (v),to have a promise
Thutlukna (n),"a resolution, a decision, a verdict"
Thuvar (n),"proverb, sayings"
Ti (v),"to say, to express"
Ti (v),"to feed the fire, to put on (wood on fire), to stoke"
Ti dim dem (adv),"fussy, particular, to be fussy, etc."
Ti el (v),"to scoff, to speak sarcastically"
Ti khir kher (adj),"particular, fussy, to be particular, etc."
Ti mei mei (v),"to speak with half-truth, to speak jokingly"
Ti ni (–),negative expression indicating ‘singular’
Ti niu (–),negative expression indicating ‘plural’
Ti si se (adj),"particular, fussy, to be particular, etc."
Ti tlat (adv),"to say emphatically, to charge strictly"
Tibur (n),a woman smoking pipe
Tibur tui (n),the liquid extracted from a woman smoking pipe
Tie (v),"as, like, as much as, same size as, to be equal in size"
Tiel tiel (adv),"gradually, little by little"
Tiem (v),"to count, to read"
Tiem (v),"to promise, to give word"
Tiem lang (v),to read out
Tiem lovin (adv),"not including, excluding, excepting"
Tiemchin (n),"target, limit fixed, amount fixed"
Tiemkam (v),"to make vows, to vow"
Tiemkamna (n),a vow
Tiempui (n),census
Tiemsenglo (adj),"countless, innumerable"
Tiemsuok (v),"to read through, to read out loud"
Tienami (n),"a story, a fable, a tale"
Tienatlang (n),olden days
Tieng (adj),side
Tieng (n),basket
Tieng (v),"to pile up, to put one on top of another"
Tieng (prpn),"towards, in the direction of"
Tieng khawm (v),to pile up
Tiengte (n),a small basket
Tienlai (n),"in olden times, a long time ago, some time ago"
Tierhrep (n),a wild edible leaf
Tierpui (n),a variety of wild tree
Tiet (n),of equal size
Tiet (adj),of what size (with interrogation mark)
Tieve (n),half (area wise)
Tih (-),ending word almost similar with ‘be’ in English
Tik (adv),of what time (with interrogation mark)
Tîk (n),the teak tree
Tiket (n),ticket
Tiksie (adj),"ungenerous, miser, stingy, mean"
Tiktik (n),the name of a bird
Tiktlai (adj),"generous, one who is not stingy"
Til (n),"testicle, the testicles and scrotum"
Til inthênna zawng (phrase),"where one’s talent is more, what one is interested or smart at"
Til lak (v),to castrate
Til ril (n),a male born with but one or no testicles
Til tla (n),hernia
Tilmu (n),a testicle
Tilpuk (n),"hydrocele, swelling of the testicles"
Tiltîp (v),"to dislike, detest (with no specific reason)"
Tilvun (n),the scrotum
Tîm (adj),"to be careful, to be wary, to beware, to be cautious, careful, wary, cautious, etc."
Tin (v),to aim (to shoot)
Tin (adj),every
Tin (n),"a hoof, a nail, a claw"
Tin inkak (v),"split hoof, parted hoof"
Tîn-chár (n),a Hindi term for a refine wood of three by four inches in size and about 16 feet in length
Tina (n),meaning
Tinbu (n),an important component of woman’s hand loom
Ting (v),"to block, to dam (water)"
Tîng (n),cane
Tingban (n),a wire or rope tight on the edge of anything for hanging clothes
Tingdawn (n),the sprout of cane (an edible and pricey curry item)
Tîngkhi (n),name of a variety of weed
Tîngpui (n),a variety of cane
Tîngpui ra (n),the fruit of cane (edible)
Tinhmun (n),a place on the outskirt of a traditional Hmar village where village folks use to rest and wait for each other before proceeding to their jhumlands or return from it
Tinkim (adj),all things (possible)
Tinkim dawn (v),to consider a subject in all its bearings beforehand
Tinreng (adj),"all sorts of, all kinds of"
Tinreng damdawi (n),a medicinal herb believes to cure multiple ailments
Tintuo (v),"to purpose, to intend, to think"
Tir (v),"to send, to ask to do, to commission"
Tîr (n),"at first, first of all, at the beginning"
Tir (suffix),"adverbial or causative suffix to make one do something, to cause, to let, to allow, to permit (in fe tir = to let go)"
Tirameikai (n),name of children’s play in which they hold each other on the back like ‘simtir’ (a rat)
Tirdak (v),"to detest, feeling disgusted, to loath, to dislike"
Tirdakum (adj),"detestable, abominable, disgusting, loathsome, nauseous"
Tirkir (v),"to send back, to ask to return"
Tirko (n),a messenger
Tirlui (v),to compel to go
Tirsuok (v),"to send out, to send off"
Tirtawn (n),"a servant, a peon, a helper; one who is on the call and send of another"
Tisa (n),"flesh, body"
Tisa tieng thil (n),"carnal, worldly, fleshy"
Tît (n),a centipede
Titak (adj),"sober, truthful"
Titehlem (v),"to pretend, to speak falsely"
Titi (v),mild discussion
Titi lengkhawm (v),a mild discussion and singing of songs practiced by the early Hmar Christians
Titi pui (v),"to have a discussion with, to talk with"
Titiri (n),name of a species of owl
Tizie (adj),"opportune, good, just what is wanted"
Tla (v),"to fall from a height, to fall down, to be degraded; to last, to be sufficient, to last to the end; to graze, to pasture, to search for food; to set as sun; to sink (in water)"
Tla hran (v),to be or live away from others
Tla thla (adv),"to fall down, to be degraded"
Tlabal (v),"to be running out of several things, to lack"
Tlada (adj),"careless, negligent"
Tlafal (v),to forage or loiter at a distance from others or peers
Tlahol (v),"to put the foot through, to fall through"
Tlai (adj),"to be satisfied (with food), to be sufficient, to be enough, sufficiency"
Tlai (v),to stop (crying)
Tlaihnát (n),a sharpen bamboo split usually used to cut umbilical cord of a new born baby
Tlaitlan (n),a makeshift resting place on the road leading to a jhum field usually with a good bird’s eye view; an indigenous waiting shed
Tlak (adj),"worthy, fit, proper"
Tlak (v),"to finish (paying a debt), to complete, to accomplish; to set (sun), to occur (famine), to fall on (difficulties, worries)"
Tlakawr (n),the name of a variety of birds with long beaks
Tlakbal (v),"to be running out of several things, to lack"
Tlakbalna (n),"need, want, lack of"
Tlakbuok (adv),"that falls upon, to come upon (negative)"
Tlakkhal (v),"to get in front of, to come in between"
Tlakkhur (n),a deep pit
Tlakpil (n),dark or brown clay soil
Tlakram (adj),to be in poor state with nothing left
Tlakramna (n),a state of extreme lost or absence of requirements
